StateAbbreviation,AreaCurrentPercent,AreaCurrent,PopulationCurrent,PopulationCurrentPercent,PercentChangeFromWAve,AreaChangeFromWAve,StatisticFormatID,USDMLevelID,USDMLevel,Name,AreaMiles,MapDate
CA,13.01,"20,571.97","1,643,858.13",4.41,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-12-04
CA,13.84,"21,884.46","775,318.85",2.08,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-12-04
CA,7.56,"11,959.04","167,594.07",0.45,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-12-04
CA,21.15,"33,449.30","4,560,176.77",12.24,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-12-11
CA,10.40,"16,450.78","1,552,247.60",4.17,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-12-11
CA,13.31,"21,057.38","799,472.15",2.15,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-12-11
CA,6.77,"10,708.54","98,649.00",0.26,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-12-11
CA,18.07,"28,570.16","4,143,959.57",11.12,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-12-18
CA,12.59,"19,906.93","1,618,043.48",4.34,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-12-18
CA,14.70,"23,243.00","794,751.75",2.13,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-12-18
CA,3.20,"5,066.76","37,573.52",0.10,0.00,0.00,2,4,D3  ,California,"158,147.87",2001-12-18
CA,14.66,"23,178.59","2,219,580.49",5.96,0.00,0.00,2,1,D0  ,California,"158,147.87",2001-12-25
CA,8.90,"14,073.80","626,656.08",1.68,0.00,0.00,2,2,D1  ,California,"158,147.87",2001-12-25
CA,9.92,"15,681.37","285,274.20",0.77,0.00,0.00,2,3,D2  ,California,"158,147.87",2001-12-25
CA,11.50,"18,191.68","669,066.01",1.80,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-01-01
CA,6.15,"9,731.04","225,422.05",0.61,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-01-01
CA,4.92,"7,787.49","107,442.04",0.29,0.00,0.00,2,3,D2  ,California,"158,147.87",2002-01-01
CA,7.05,"11,142.75","55,280.71",0.15,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-01-08
CA,0.11,175.22,790.17,0.00,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-01-08
CA,7.15,"11,306.92","70,272.11",0.19,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-01-15
CA,0.27,434.16,"1,922.65",0.01,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-01-15
CA,12.65,"19,999.57","12,476,813.49",33.49,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-01-22
CA,0.11,175.37,794.59,0.00,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-01-22
CA,12.06,"19,075.23","12,398,433.94",33.28,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-01-29
CA,0.15,239.58,"1,085.51",0.00,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-01-29
CA,24.26,"38,373.85","19,308,147.29",51.83,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-02-05
CA,0.16,259.10,"1,158.34",0.00,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-02-05
CA,45.76,"72,369.61","22,370,910.88",60.05,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-02-12
CA,0.28,441.94,"1,997.47",0.01,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-02-12
CA,45.17,"71,437.80","22,322,634.48",59.92,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-02-19
CA,0.07,107.70,487.98,0.00,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-02-19
CA,45.32,"71,667.69","22,386,045.39",60.09,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-02-26
CA,0.17,271.30,"1,229.22",0.00,0.00,0.00,2,2,D1  ,California,"158,147.87",2002-02-26
CA,46.80,"74,007.66","22,626,593.23",60.74,0.00,0.00,2,1,D0  ,California,"158,147.87",2002-03-05
